City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Umba,RU,66.6871,34.3429,28.18,86,100,7.09,overcast clouds
332,Storsteinnes,NO,69.2408,19.2344,33.8,76,95,6.58,light snow
333,Tonstad,NO,58.6626,6.7169,49.35,90,86,2.93,overcast clouds
334,Lubumbashi,CD,-11.6609,27.4794,76.96,38,67,3.65,broken clouds
335,Tonantins,BR,-2.8731,-67.8022,94.71,41,39,2.57,scattered clouds
336,Palmaner,IN,13.2,78.75,70.0,95,75,3.22,light rain
337,Bajil,YE,15.0584,43.2851,85.91,63,58,4.23,broken clouds
338,Bengkulu,ID,-3.8004,102.2655,75.78,90,61,3.71,light rain
339,Adre,TD,13.4667,22.2,84.09,20,7,12.35,clear sky
340,Walvis Bay,NA,-22.9575,14.5053,63.09,78,0,21.54,clear sky
341,Comarapa,BO,-17.9,-64.4833,76.37,50,56,10.87,broken clouds
342,Putnam,US,36.1667,-85.65,66.36,67,20,5.75,few clouds
343,Ocean Springs,US,30.4113,-88.8278,81.7,58,1,5.75,clear sky
344,Meredith,US,43.6576,-71.5004,55.53,58,1,1.99,clear sky
